text,targe
بين أستوديوهات ورزازات وصحراء مرزوكة وآثار وليلي ثم الرباط والبيضاء انتهى المخرج المغربي سهيل بن بركة من تصوير مشاهد عمله السينمائي الجديد الذي خصصه لتسليط الضوء عن حياة الجاسوس الإسباني دومينغو باديا الذي عاش فترة من القرن التاسع عشر بالمغرب باسم علي باي هذا الفيلم الذي اختار له مخرجه عنوان حلم خليفة يصور حياة علي باي العباسي الذي ما زال أحد أحياء طنجة يحمل اسمه عاش حياة فريدة متنكرا بشخصية تاجر عربي من سلالة الرسول صلى الله عليه وسلم فيما كان يعمل جاسوسا لحساب إسبانيا وكشف مخرج الفيلم سهيل بن بركة في تصريح لهسبريس أن الفيلم السينمائي دخل مرحلة التوضيب التي تتم خارج المغرب مبرزا أن الفيلم الذي يروي حياة الجاسوس الإسباني دومينغو باديا منذ أن قرر من طنجة بدء رحلاته نحو عدد من المناطق في العالم الإسلامي بداية القرن العشرين سيكون جاهزا بعد شهرين ويجمع الفيلم السينمائي عددا من الممثلين من مختلف الجنسيات واختار لدور البطولة الممثلة السينمائية الإيطالية كارولينا كريشنتيني للقيام بدور الإنجليزية الليدي هستر ستانهوب التي اشتهرت في الكتب الغربية بـ زنوبيا والتي عاشت بدورها بالدول العربية وارتبطت بعلي باي بعلاقة عاطفية إضافة إلى وجوه سينمائية معروفة وعن اختيار المخرج المغربي لحياة علي باي العباسي يوضح في تصريح لوكالة الأنباء الفرنسية هذه الشخصية عاشت أحداثا مشوقة كثيرة تستحق أن تسلط عليها الأضواء مشيرا إلى أن الفيلم سيحمل الكثير من المفاجآت لا سيما أن البطل قتل على يد امرأة دست له السم خلال رحلة الحج وأضاف شخصية طموحة وشجاعة ومثقفة ومذهلة في آن واحد كان يرى نفسه مستكشفا في أول الأمر نال علي باي إعجاب السلطان بعلمه فجعله من المقربين منه في ظرف وجيز ودعاه إلى اللحاق به إلى فاس وبرحيله إلى فاس تنتهي قصته مع طنجة وعاش علي باي العباسي بمدينة طنجة على أنه رجل مسلم أصله من الشام ونال ثقة الجميع في هذه المدينة حيث تم تشييد تمثال له في عروسة الشمال نظرا لتمكنه من بعض العلوم خاصة علم الفلك الذي مكنه من رصد كسوف الشمس الذي تزامن مع وجوده في طنجة فكان لعلمه دور كبير ساعده في إخفاء هويته كما أبان هذا الأمر أيضا عن تراجع كبير في ميدان العلم والمعرفة لدى المغاربة والمسلمين بصفة عامة,0
قررت النجمة الأمريكية أوبرا وينفري ألا يقتصر عملها على الفن بل عملت مع أحد المتخصصين لإطلاق نوع جديد من الشاي سيصبح متوفرا ابتداء من الشهر المقبل في سلسلة مقاهي ستاربكس ونقلت وسائل إعلام أمريكية عن رئيس مجلس إدارة ستاربكس هاورد شولتز ووينفري إعلانهما عن ابتكار نوع جديد من الشاي يحمل اسم الذي سيباع ابتداء من أبريل نيسان المقبل في مقاهي ستاربكس وتيفانا بأمريكا وكندا وتعتزم ستاربكس التبرع بعائدات بيع هذا الشاي لأكاديمية أسستها وينفري وتعنى بتوفير فرص تعليم للشبان,0
أخبارنا المغربية الوزاني تصوير الشملالي ألهب النجم المغربي الدوزي حماس أزيد من ألف متفرج أثثوا فضاءات مسرح الهواء الطلق بمدينة المضيق ليلة أمس الخميس يوليوز في إطار فعاليات مهرجان جولة الذي دأبت على تنظميه شركة اتصالات المغرب صيف كل سنة اعتلى الفنان الدوزي منصة المضيق في حدود منتصف الليل عرفت فقرات سهرته تجاوبا رائعا من طرف الجمهور الشمالي أيضا الوافد من مختلف المدن المغربية مع أغانيه القديمة والجديدة منها أغنية مريما فهميني حبيب الروح كما أدى بعض أغاني الركادة الشعبي بمناسبة تصادف الحفل مع الذكرى الـ لعيد العرش المجيد جعل الدوزي مسك ختام سهرته أغنية العيون عينية التي تفاعل الجمهور معها بشكل كبير جدا ليصنع مشهدا جميلا أثبت أن الفن قادر على تحريك المشاعر الوطنية الاعتزاز بالوطن عرفت سهرة الامس حضور نائب المدير التنفيذي لشركة اتصالات المغرب بعض رجال السلطات المحلية شهدت تنظيما محكما من طرف الشركة المنظمة للمهرجان الذي سيشهد في الايام القليلة المقبلة حضور أسماء فنية عربية مغربية نذكر منها وائل جسار فارس كرم سعيدة شرف سعيد موسكير,0
اخبارنا المغربية قال ابراهيم الراشدي محامي سعد المجرد ان موكله ذهب ضحية كمين نصب له من طرف شخصين هما فرنسي من اصل جزائري الثاني مصري مبرزا ان التحقيق في القضية سيوضح الحقيقة حول هوية الفتاة المشتكية قال الراشدي في تصريحات اذاعية انها من جنسية فرنسية لا تنحدر من الجزائر او بلد اخر مضيفا انها تبلغ من العمر سنة تعمل في علبة ليلية اوضح المتحدث ان الفتاة نفت في شكايتها لدى الشرطة وقوع علاقة جنسية مع سعد قدمت شهادة طبية مدتها يومين فقط مضيفا انها لا تعاني من اي رضوض في جسمها كما انها ذهبت برضاها مع سعد لم تثبت كاميرات الفندق وجود اي احتجاز او اكراه حول سبب عدم اطلاق سراح سعد المجرد متابعته في حالة سراح اكد الراشدي ان القضاء الفرنسي رفض الامر قبل وقوع المواجهة مع المشتكية تفاديا للتاثير عليها لان خروجه من السجن متابعته في حالة سراح قد يؤثر على الفتاة المشتكية نظرا لوضعيته الاجتماعية المتميزة اكد المحامي ان البث في طلب الاستئناف من اجل اطلاق سراح المجرد تقرر البث فيه في ظرف ايام سيتم النظر فيه يوم الاربعاء المقبل على اعتبار ان الثلاثاء يوم عطلة بفرنسا نفى الراشدي ما تداولته الصحافة الفرنسية حول اتهامه للجزائر بالوقوف وراء المؤامرة التي تعرض لها موكله مبرزا انه رجل قانون لا يخوض في امور لها علاقة بالسياسة,0
تزال صناعة الجلود في المغرب تتبع الطريقة التقليدية واليدوية وتستخدم مواد طبيعية مائة بالمائة تنتشر معظم المدابغ في فاس التي اشتهرت بهذه المهنة منذ قرون ولننا اليوم اخترنا تسليط الضوء على إحدى المدابغ في مراكش والتي يتوافد عليها السياح رغم الرائحة الكريهة يعمل العمال تحت أشعة الشمس على معالجة الجلود عبر غمسها في المياه مع إضافة الليمون وفضلات الطيور والكلاب ويستخدمون لتلوينها أصباغا طبيعية تبدأ معالجة الجلود التي تصل إلى المدبغة في عربات تجرها الحمير عبر فرزها ثم توضع في الجفنة أو القصرية على شكل إناء كبير حسب النوع واللون ليتم نقعها في محلول من الجير والماء حتى يصبح الجلد ناعما ً، ويضاف إلى المحلول فضلات الكلاب أو الدجاج أو الحمام وهذا الخليط يمنح المكان رائحة نتنة تعود عليها العمال يتم نقع الجلد في المحلول لعدة أيام وأسابيع وإذا لزم الأمر يعاد نقعها عدة مرات بعد النقع تأتي عملية التنظيف إذ يتم إخراج الجلود من القصرية لتنظيفها يدويا من الصوف العلق وبعدها يتم غسل الجلد في ماء نضيف ويترك تحت أشعة الشمس ليجف الخطوة التالية هي صبغ الجلد إذ يتم وضعه مرة أخرى في قصرية من الماء الملون بصبغة طبيعية ويترك لعدة أسابيع ويتم تحريك الجلد عبر جميع الاتجاهات باستمرار حتى تتوزع الصبغة على جميع أنحائه هذه الصبغات هي مواد طبيعية مصنوعة من خليط الزعفران الأصفر والأحمر والفلفل في المرحلة الأخيرة تذهب الجلود المصنعة إلى ورش العمل حيث تتم صناعة الحقائب والأحذية التقليدية والرياضية وغير ذلك يتوافد على مدابغ الجلود عدد كبير من السياح لاسيما الأجانب رغم الرائحة الكريهة ويحرصون على شراء النعناع قبل الوصول إليها لغرض تخفيف شدة الرائحة,0
مصطفى الصوفي انطلقت أمس فعاليات الدورة الثالثة من مهرجان سلا الدولي للفنون الساخرة التي تنظمها جمعية نجمة للفكر والإبداع والتي تستمر على مدى ثلاثة أيام تحت شعار نضحكوها مغربية وشهد حفل الافتتاح الذي عرف تقديم كلمة مهمة لرئيسة الجمعية فوزية الوافي تكريم الثنائي سفاج ومهيول هذا الثنائي الذي اعتبرته مديرة المهرجان زهور الزرييق من الثنائيات الكوميدية الناجحة والرائعة التي قدمت طيلة مسيرتها الفنية فيضا من الأعمال التي خلقت الفرجة الكوميدية للجمهور وبالرغم من مرض واحد من الثنائي والمقبل على عملية جراحية حيث نتمنى له الشفاء العاجل لا أن الثنائي المحبوب حل إلى المركب الثقافي الملكي من اجل لقاء الجمهور لقاء تميز بالبساطة والود وشهادة مؤثرة ومميزة قدمها الفنان الساخر الشرقي الساروتي في حق المحتفى بهما واللذين تلقيا هدايا وتذكارات من يد رئيسة الجمعية ورئيسة الجماعة الحضرية كما تميزت الدورة أيضا بتكريم الفنان عبد الخالق فيهد فضلا عن سلسة من الفقرات الكوميدية التي سيؤديها نجوم الكوميديا من الجيل الصاعد الفائزين في المباراة الخاصة بانتقاء أحسن الكوميديين الشباب من بروع الوطن ومن مدينة سلا وتشكل هذه الدورة بالنظر إلى برمجتها حلقة استثنائية بطاقمها التنظيمي النسائي حرصا من مديرة المهرجان زهور الزرييق على تحقيق مقاربة النوع وإعطاء الفرصة للمرأة من أجل ابرزا قدراتها ودعمها ومشاركتها الفعالة في هذه الدورة التي تقام بشراكة مع مؤسسة سلا للثقافة والفنون وبدعم من وزارة الثقافة والمسرح الوطني وبريد المغرب وشركة اوبامي حيث يسعى الجميع إلى تبيان قدرات الشباب ومنحهم ثقة كبيرة في مواهبهم وفرصة مواتية للمشاركة إلى جانب نجوم الكوميديا كما تتنوع فقرات الدورة بين عروض فنية ساخرة فردية وثنائية وفن عروض الحلقة بساحة باب الخميس فضلا عن تنظيم ندوة فكرية في إطار صالون الزهراء لفنون القول نظمت أمس حول موضوع مظاهر الكتابة الساخرة في التراث الفني يديرها الدكتور عبد المجيد فنيش والدكتور محمد رمصيص مع قراءة في ديوان طرامواي للزجال مراد القادري وهي الندوة التي أبرزت دور الكوميديا والسخرية في معالجة القضايا الاجتماعية ومحاربة الاستعمار الفرنسي هذا فضلا عن فقرات عدة من أبرزها عرض مسرحية واش الغالية رخيصة من إخراج وتأليف الفنان المتميزة زهور الزرييق وبطولة فاطمة الزهراء أحرار وبنعبد الله الجندي وغيرهما في حفل الاختتام وهي المسرحية التي تعالج قضايا المرأة وقضايا اجتماعية عدة في قالب فني ساخر وجميل,0
الاتحاد الاشتراكي تحيي الفنانة اللبنانية نجوى كرم وضيفة شرف مهرجان تيميتار بأكادير حفل الاختتام الذي سينظم يوم الخامس والعشرين من يونيو الجار وسينشط هذا الحفل إلى جانب نجوى كرم الفنانة الشعبية المغربية زينة الداودية يذكر أن الفنانة اللبنانية قررت طرح ألبومها الجديد يوم من الشهر الجاري بعد مجموعة كبيرة من التأجيلات ويتضمن الألبوم ثماني أغاني لبنانية متنوعة منها عيني بعينك لو بس تعرف دلل بياع اليانصيب التي ربما سيكون لجمهور تيميتار نصيب منها,0
أقدمت كاثريونا وايت حبيبة الممثل جيم كاري على الانتحار في حادثة أعرب الكوميدي البالغ عاما عن عميق حزنه وصدمته حيالها وأشار المتحدث باسم شرطة لوس أنجليس فريد كورال إلى عثور هيئات الطوارئ الطبية على جثة امرأة في الثلاثين من عمرها متحدرة من شيرمان اوكس وقد حدد سبب الوفاة على أنه انتحار على الأرجح وتم فتح تحقيق بالحادثة ولفتت الصحافة المتخصصة في أخبار المشاهير الأمريكيين إلى أن الثنائي انفصلا الخميس الماضي بعد علاقة عاطفية صعبة انفصلا خلالها مرات عدة في السابق وذكر موقع تي ام زي نقلا عن مصادر في الشرطة أن وايت قضت جراء جرعة زائدة من الأدوية غير أن كورال لم يؤكد هذه المعلومات على الفور وأبدى كاري نجم أفلام عدة بينها دام اند دامر ايترنل سانشاين اوف ذي سبوتليس مايند مان اون ذي مون صدمته وعميق حزنه إزاء وفاة من وصفها بـ حبيبتي اللطيفة كاثريونا وقال في بيان حصلت وكالة فرانس برس على نسخة منه كانت زهرة إيرلندية حساسة ولطيفة حقا ً، كانت حساسيتها أكبر من أن تتحملها هذه الأرض وأضاف قلبي مع عائلتها وأصدقائها وجميع الذين أحبوها لقد حل علينا هذا الخبر جميعا كوقع الصاعقة,0
أحمد الريدي تطور جديد شهدته قضية الفنانة زينة وأحمد عز والتوأم الحائر فيما بينهما وذلك بعدما قررت زينة التعليق على هذه المسألة للمرة الأولى من خلال مداخلة هاتفية أجرتها مع أحد البرامج التلفزيونية زينة أكدت في البداية أنها لن تتحدث عن القضية من الناحية القانونية لأنها تحترم قرار المحكمة بحظر النشر ولكنها عبرت عن غضبها بسبب المعلومات المغلوطة التي نشر ووجهت زينة رسالة إلى المشاهدين بألا يصدقوا ما يكتب لأنه غير صحيح مشيرة إلى أنها هي وأحمد عز هما من يمتلكان الحقيقة الكاملة بعدها وجهت زينة حديثها لأحمد عز قائلة يا أحمد يا عز عيب إللي بتعمله ده فضحت نفسك وفضحتنا معاك دي لا رجولة ولا أخلاق بتحارب ولادك الاتنين وهما طفلان ما يعرفوش حاجة وعيب لما تقف قدام طفلين وواحدة ست إللي هي أمهم وأنت إتجوزتها حديث زينة للمرة الأولى عن الأزمة جاء بعدما عقدت هيئة الدفاع عن أحمد عز مؤتمرا صحافيا مساء الثلاثاء الماضي من أجل الحديث عن الأزمة وتفنيدها بعدما أصدرت نيابة الأسرة تقريرا مبدئيا يعفي عز من نسب التوأم وتابعت زينة رسالتها إلى أحمد عز بنبرة حادة قائلة لو طلعت قولت للناس الحقيقة وإللي عندي وحقيقة كذبك عليهم إنت مش هتعرف تمشي في الشارع مؤكدة أن الجمهور لن يرحمه لأن الجمهور أصبح قاضيا عليهما ويحاكمهما على كل ما يقولانه وطلبت زينة من عز أن يكف عن إنفاق الأموال على المحامين وغيرهم وأن يصرف هذه الأموال على طفليه خاصة أنهما كانا مريضين خلال الفترة الماضية وظلت لمدة أربعة أشهر تتواجد إلى جوارهم في المستشفى كما أشارت إلى أنها لن تترك حقها قائلة أنا مش هسيب حقي يا أحمد يا عز ومش هسيب حق ولادي هاخد حقي من حبابي عنيك واعتبرت أن الأزمة تتمثل في كونها لا تحارب عدوا ً، ولكنها تحارب والد طفليها قائلة له إنت هتروح من ربنا فين إنت كدبت كدبة وصدقتها ووجهت زينة النصيحة لعز بأنه بدلا من أن يذهب إلى الخبراء في المحكمة ويلتقط الصور مع الموظفات فليقم بعمل تحليل الـ الذي أجرته هي بدورها أكثر من مرة كما اعتبرت أن الفنان من المفترض أن يكون لديه الإحساس بشكل أكبر ولكنها تساءلت عن مدى الإحساس لدى أحمد عز وطالبت زينة أن يتم إحضار شهادة التتبع الخاصة بعز ولماذا كان يتواجد بالولايات المتحدة الأميركية أثناء فترة حملها وقبل ولادتها مؤكدة أن لديها الكثير لتقوله لكنها لم تتحدث بعد لأنها تحترم أولادها والجمهور وأخيرا ً، زينة أكدت لعز أن الجمهور لم يعد يحبه الآن بسبب ما يقوم به تجاه طفلين مشيرة إلى كونها ستظل تحارب من أجل حق طفليها ووجهت رسالة أخيرة له قائلة استر ده ربنا بيستر كما أعربت عن تفاؤلها وثقتها في القضاء,0
أخبارنا المغربية بشراكة بين مؤسسة البشير للتعليم المدرسي الخصوصي والأكاديمية الجهوية للتربية والتكوين جهة مراكش تانسيفت الحوز والكوليزيوم القصصي بالمغرب يتم تنظيم ملتقى دراسي وطني حول القصة القصيرة بالمغرب القارئ في القصة القصيرة بالمغرب تشارك فيه نخبة رائدة في القصة القصيرة بالمغرب وسيتميز الملتقى بجلسات علمية تتوزع بين الجانب الدراسي لكل من محمد عزيز المصباحي ومحمد اشويكة ومحمد أمنصور وموحى وهبي ومحمد زهير وبين القراءات لكل من محمد تينفو وعلي الوكيلي وهشام المغاري وعمر العلوي ناسنا ونور الدين الظهرجي وبهية المعتضد كما ستخصص الجلسة الثالثة للاحتفاء بثلاثة أعلام وطنية في القصة القصيرة ويتعلق الأمر بكل من مصطفى المسناوي وادريس الصغير ومحمد زهير حيث سيقدم احمد بوزفور وسعيد الريحاني وعبد اللطيف السخيري شهادات وإضاءات حول هذه الشخصيات القصصية وتكرس الجلسة الرابعة للإعلان عن الفائز في المسابقة الجهوية في القصة القصيرة الإبداع مدخل للتربية والتي عرفت مشاركات مكثفة من مختلف مدارس الجهة وسيعرف الملتقى كذلك تقديم كتاب الشخصية بين الأدب والفن رؤى متقاطعة وهو من منشورات مؤسسة البشير للتعليم المدرسي الخصوصي وذلك يوم السبت أبريل بمؤسسة البشير بمراكش ابتداء من الساعة الرابعة مساء,0
